Method	Misclassification Error	False Positive Rate	False Negative Rate
Logistic	0.24975562072336266	0.16627265563435775	0.3861003861003861
Ridge	0.26637341153470184	0.1355397951142632	0.4800514800514801
LASSO	0.2619745845552297	0.15524034672970843	0.4362934362934363
Elastic Net	0.2966764418377322	0.07013396375098503	0.6666666666666666
Classification Tree	0.31671554252199413	0.2631993695823483	0.4041184041184041
Boosted	0.250733137829912	0.16390858944050432	0.39253539253539255
