feature	coefficient
age	-0.1542809985475631
had_covid2	-0.13240543908716992
had_covid1	0.12813945106741925
education_level7	-0.12708219382668126
education_level3	0.08976255085764434
eating_indoors_restaurants2	-0.0821586868972774
income8	-0.08173891599455749
eating_indoors_restaurants1	0.08136630066387203
race3	-0.07411116206668385
difficulty_with_expenses1	-0.07312669154648778
